accreditation_code,power_station_name,state,installed_capacity,postcode,fuel_source_s,accreditation_start_date,suspension_status,baseline_mwh,comment,accreditation_start_year,power_station_name_key,power_station_name_canonical,power_station_name_core,fuel_family,source_file
SRPXVCA4,Ross Labs - Solar w SGU - VIC,VIC,0.3458,3043,Solar,2022-11-14,Unsuspended,0,,2022,ross labs solar w sgu vic,ross labs,ross labs,solar,cer_historical_accredited_power_stations.csv
SRPXVCL1,Rowville Terminal Station - Solar - VIC,VIC,1.1248,3178,Solar,2024-04-08,Unsuspended,0,,2024,rowville terminal station solar vic,rowville terminal station,rowville terminal,solar,cer_historical_accredited_power_stations.csv
HY00VC02,Rubicon System,VIC,13.55,3000,Hydro,2001-04-01,Unsuspended,65854,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.,2001,rubicon system,rubicon system,rubicon system,hydro,cer_historical_accredited_power_stations.csv
SRPVVC02,Rufusredtail,VIC,0.0014,3135,Solar,2002-04-26,Suspended,0,,2002,rufusredtail,rufusredtail,rufusredtail,solar,cer_historical_accredited_power_stations.csv
SRPVVCI8,Ryan & Mcnulty - Solar - VIC,VIC,0.3201,3672,Solar,2019-04-24,Unsuspended,0,,2019,ryan and mcnulty solar vic,ryan and mcnulty,ryan and mcnulty,solar,cer_historical_accredited_power_stations.csv
WD00VC49,Ryan Corner Wind Farm - Wind - Vic,VIC,218.4,3284,Wind,2024-07-01,Unsuspended,0,,2024,ryan corner wind farm wind vic,ryan corner wind farm,ryan corner,wind,cer_historical_accredited_power_stations.csv
SRPVVCH8,SAFECORP GROUP LTD - Solar Braeside Vic,VIC,0.3847,3195,Solar,2019-03-22,Unsuspended,0,,2019,safecorp group ltd solar braeside vic,safecorp group,safecorp group,solar,cer_historical_accredited_power_stations.csv
SRPVVC50,SALE HOSPITAL - SOLAR - Vic,VIC,0.7574,3850,Solar,2017-09-27,Unsuspended,0,,2017,sale hospital solar vic,sale hospital,sale hospital,solar,cer_historical_accredited_power_stations.csv
SRPXVCF4,SCG Fountain Gate - Solar - Vic,VIC,2.8128,3805,Solar,2023-07-27,Unsuspended,0,,2023,scg fountain gate solar vic,scg fountain gate,scg fountain gate,solar,cer_historical_accredited_power_stations.csv
SRPXVCF5,SCG Knox - Solar - Vic,VIC,1.6507,3152,Solar,2023-07-27,Unsuspended,0,,2023,scg knox solar vic,scg knox,scg knox,solar,cer_historical_accredited_power_stations.csv
SRPVVC46,SCS Shepparton VIC - Solar,VIC,0.3,3630,Solar,2017-06-07,Unsuspended,0,,2017,scs shepparton vic solar,scs shepparton,scs shepparton,solar,cer_historical_accredited_power_stations.csv
SRPXVCH5,SIGNCRAFT PTY - Solar - VIC,VIC,0.198,3025,Solar,2023-11-09,Unsuspended,0,,2023,signcraft pty solar vic,signcraft,signcraft,solar,cer_historical_accredited_power_stations.csv
