measure_code,parent_description,description,abs_reference_year,value,state,measure_name,source_file
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2020,443911.0,QLD,total_businesses_count,abs_ste_3_qld.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2021,460813.0,QLD,total_businesses_count,abs_ste_3_qld.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2022,482302.0,QLD,total_businesses_count,abs_ste_3_qld.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2023,497025.0,QLD,total_businesses_count,abs_ste_3_qld.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2024,510444.0,QLD,total_businesses_count,abs_ste_3_qld.csv
INCOME_2,Personal income in Australia - year ended 30 June,Median employee income ($),2018,49282.0,QLD,median_employee_income_aud,abs_ste_3_qld.csv
INCOME_2,Personal income in Australia - year ended 30 June,Median employee income ($),2019,50776.0,QLD,median_employee_income_aud,abs_ste_3_qld.csv
INCOME_2,Personal income in Australia - year ended 30 June,Median employee income ($),2020,52137.0,QLD,median_employee_income_aud,abs_ste_3_qld.csv
INCOME_2,Personal income in Australia - year ended 30 June,Median employee income ($),2021,54414.0,QLD,median_employee_income_aud,abs_ste_3_qld.csv
INCOME_2,Personal income in Australia - year ended 30 June,Median employee income ($),2022,56569.0,QLD,median_employee_income_aud,abs_ste_3_qld.csv
INCOME_21,Personal income in Australia - year ended 30 June,Mean employee income ($),2018,58745.0,QLD,mean_employee_income_aud,abs_ste_3_qld.csv
INCOME_21,Personal income in Australia - year ended 30 June,Mean employee income ($),2019,60307.0,QLD,mean_employee_income_aud,abs_ste_3_qld.csv
INCOME_21,Personal income in Australia - year ended 30 June,Mean employee income ($),2020,62160.0,QLD,mean_employee_income_aud,abs_ste_3_qld.csv
INCOME_21,Personal income in Australia - year ended 30 June,Mean employee income ($),2021,64570.0,QLD,mean_employee_income_aud,abs_ste_3_qld.csv
INCOME_21,Personal income in Australia - year ended 30 June,Mean employee income ($),2022,67160.0,QLD,mean_employee_income_aud,abs_ste_3_qld.csv
INCOME_3,Personal income in Australia - year ended 30 June,Total employee income ($m),2018,151211.4,QLD,total_employee_income_million_aud,abs_ste_3_qld.csv
INCOME_3,Personal income in Australia - year ended 30 June,Total employee income ($m),2019,158995.7,QLD,total_employee_income_million_aud,abs_ste_3_qld.csv
INCOME_3,Personal income in Australia - year ended 30 June,Total employee income ($m),2020,166110.1,QLD,total_employee_income_million_aud,abs_ste_3_qld.csv
INCOME_3,Personal income in Australia - year ended 30 June,Total employee income ($m),2021,175337.7,QLD,total_employee_income_million_aud,abs_ste_3_qld.csv
INCOME_3,Personal income in Australia - year ended 30 June,Total employee income ($m),2022,191314.6,QLD,total_employee_income_million_aud,abs_ste_3_qld.csv
INCOME_4,Personal income in Australia - year ended 30 June,Employee income earners (no.),2018,2574042.0,QLD,employee_income_earners_count,abs_ste_3_qld.csv
INCOME_4,Personal income in Australia - year ended 30 June,Employee income earners (no.),2019,2636456.0,QLD,employee_income_earners_count,abs_ste_3_qld.csv
INCOME_4,Personal income in Australia - year ended 30 June,Employee income earners (no.),2020,2672285.0,QLD,employee_income_earners_count,abs_ste_3_qld.csv
INCOME_4,Personal income in Australia - year ended 30 June,Employee income earners (no.),2021,2715480.0,QLD,employee_income_earners_count,abs_ste_3_qld.csv
INCOME_4,Personal income in Australia - year ended 30 June,Employee income earners (no.),2022,2848631.0,QLD,employee_income_earners_count,abs_ste_3_qld.csv
CABEE_10,Business entries - year ended 30 June,Total number of business entries,2021,19690.0,SA,business_entries_count,abs_ste_4_sa.csv
CABEE_10,Business entries - year ended 30 June,Total number of business entries,2022,23403.0,SA,business_entries_count,abs_ste_4_sa.csv
CABEE_10,Business entries - year ended 30 June,Total number of business entries,2023,22648.0,SA,business_entries_count,abs_ste_4_sa.csv
CABEE_10,Business entries - year ended 30 June,Total number of business entries,2024,24937.0,SA,business_entries_count,abs_ste_4_sa.csv
CABEE_15,Business exits - year ended 30 June,Total number of business exits,2021,15718.0,SA,business_exits_count,abs_ste_4_sa.csv
CABEE_15,Business exits - year ended 30 June,Total number of business exits,2022,16927.0,SA,business_exits_count,abs_ste_4_sa.csv
CABEE_15,Business exits - year ended 30 June,Total number of business exits,2023,21240.0,SA,business_exits_count,abs_ste_4_sa.csv
CABEE_15,Business exits - year ended 30 June,Total number of business exits,2024,20081.0,SA,business_exits_count,abs_ste_4_sa.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2020,581.0,SA,utilities_businesses_count,abs_ste_4_sa.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2021,599.0,SA,utilities_businesses_count,abs_ste_4_sa.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2022,617.0,SA,utilities_businesses_count,abs_ste_4_sa.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2023,616.0,SA,utilities_businesses_count,abs_ste_4_sa.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2024,639.0,SA,utilities_businesses_count,abs_ste_4_sa.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2020,145383.0,SA,total_businesses_count,abs_ste_4_sa.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2021,149462.0,SA,total_businesses_count,abs_ste_4_sa.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2022,156131.0,SA,total_businesses_count,abs_ste_4_sa.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2023,159604.0,SA,total_businesses_count,abs_ste_4_sa.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2024,164454.0,SA,total_businesses_count,abs_ste_4_sa.csv
INCOME_2,Personal income in Australia - year ended 30 June,Median employee income ($),2018,48923.0,SA,median_employee_income_aud,abs_ste_4_sa.csv
INCOME_2,Personal income in Australia - year ended 30 June,Median employee income ($),2019,50403.0,SA,median_employee_income_aud,abs_ste_4_sa.csv
INCOME_2,Personal income in Australia - year ended 30 June,Median employee income ($),2020,51590.0,SA,median_employee_income_aud,abs_ste_4_sa.csv
INCOME_2,Personal income in Australia - year ended 30 June,Median employee income ($),2021,53609.0,SA,median_employee_income_aud,abs_ste_4_sa.csv
INCOME_2,Personal income in Australia - year ended 30 June,Median employee income ($),2022,55407.0,SA,median_employee_income_aud,abs_ste_4_sa.csv
INCOME_21,Personal income in Australia - year ended 30 June,Mean employee income ($),2018,55825.0,SA,mean_employee_income_aud,abs_ste_4_sa.csv
INCOME_21,Personal income in Australia - year ended 30 June,Mean employee income ($),2019,57333.0,SA,mean_employee_income_aud,abs_ste_4_sa.csv
INCOME_21,Personal income in Australia - year ended 30 June,Mean employee income ($),2020,59036.0,SA,mean_employee_income_aud,abs_ste_4_sa.csv
INCOME_21,Personal income in Australia - year ended 30 June,Mean employee income ($),2021,61072.0,SA,mean_employee_income_aud,abs_ste_4_sa.csv
INCOME_21,Personal income in Australia - year ended 30 June,Mean employee income ($),2022,63219.0,SA,mean_employee_income_aud,abs_ste_4_sa.csv
INCOME_3,Personal income in Australia - year ended 30 June,Total employee income ($m),2018,46585.0,SA,total_employee_income_million_aud,abs_ste_4_sa.csv
INCOME_3,Personal income in Australia - year ended 30 June,Total employee income ($m),2019,48762.2,SA,total_employee_income_million_aud,abs_ste_4_sa.csv
INCOME_3,Personal income in Australia - year ended 30 June,Total employee income ($m),2020,50807.7,SA,total_employee_income_million_aud,abs_ste_4_sa.csv
INCOME_3,Personal income in Australia - year ended 30 June,Total employee income ($m),2021,53633.4,SA,total_employee_income_million_aud,abs_ste_4_sa.csv
INCOME_3,Personal income in Australia - year ended 30 June,Total employee income ($m),2022,58311.8,SA,total_employee_income_million_aud,abs_ste_4_sa.csv
INCOME_4,Personal income in Australia - year ended 30 June,Employee income earners (no.),2018,834485.0,SA,employee_income_earners_count,abs_ste_4_sa.csv
INCOME_4,Personal income in Australia - year ended 30 June,Employee income earners (no.),2019,850510.0,SA,employee_income_earners_count,abs_ste_4_sa.csv
INCOME_4,Personal income in Australia - year ended 30 June,Employee income earners (no.),2020,860617.0,SA,employee_income_earners_count,abs_ste_4_sa.csv
INCOME_4,Personal income in Australia - year ended 30 June,Employee income earners (no.),2021,878203.0,SA,employee_income_earners_count,abs_ste_4_sa.csv
INCOME_4,Personal income in Australia - year ended 30 June,Employee income earners (no.),2022,922381.0,SA,employee_income_earners_count,abs_ste_4_sa.csv
CABEE_10,Business entries - year ended 30 June,Total number of business entries,2021,5350.0,TAS,business_entries_count,abs_ste_6_tas.csv
CABEE_10,Business entries - year ended 30 June,Total number of business entries,2022,6155.0,TAS,business_entries_count,abs_ste_6_tas.csv
CABEE_10,Business entries - year ended 30 June,Total number of business entries,2023,5994.0,TAS,business_entries_count,abs_ste_6_tas.csv
CABEE_10,Business entries - year ended 30 June,Total number of business entries,2024,6056.0,TAS,business_entries_count,abs_ste_6_tas.csv
CABEE_15,Business exits - year ended 30 June,Total number of business exits,2021,4102.0,TAS,business_exits_count,abs_ste_6_tas.csv
CABEE_15,Business exits - year ended 30 June,Total number of business exits,2022,4612.0,TAS,business_exits_count,abs_ste_6_tas.csv
CABEE_15,Business exits - year ended 30 June,Total number of business exits,2023,5352.0,TAS,business_exits_count,abs_ste_6_tas.csv
CABEE_15,Business exits - year ended 30 June,Total number of business exits,2024,5247.0,TAS,business_exits_count,abs_ste_6_tas.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2020,118.0,TAS,utilities_businesses_count,abs_ste_6_tas.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2021,121.0,TAS,utilities_businesses_count,abs_ste_6_tas.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2022,127.0,TAS,utilities_businesses_count,abs_ste_6_tas.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2023,137.0,TAS,utilities_businesses_count,abs_ste_6_tas.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2024,136.0,TAS,utilities_businesses_count,abs_ste_6_tas.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2020,39285.0,TAS,total_businesses_count,abs_ste_6_tas.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2021,40723.0,TAS,total_businesses_count,abs_ste_6_tas.csv
